"","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-std()","tGravityAccMag-std()","tBodyAccJerkMag-std()","tBodyGyroMag-std()","tBodyGyroJerkMag-std()","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-std()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-std()","fBodyBodyGyroJerkMag-std()"
"11",-0.99481511,-0.97307692,-0.98535702,-0.99726455,-0.98648794,-0.99469268,-0.99123356,-0.97326434,-0.98501751,-0.98466387,-0.98821559,-0.98090404,-0.98591085,-0.99371782,-0.98476218,-0.98590171,-0.98590171,-0.98602515,-0.98024776,-0.99034063,-0.99581075,-0.97510993,-0.98683043,-0.99233125,-0.97492899,-0.98706537,-0.9854689,-0.98846395,-0.98394887,-0.98718871,-0.98661714,-0.98117839,-0.9892975
"12",-0.99824595,-0.98721376,-0.99272659,-0.99812719,-0.99482045,-0.99230114,-0.99817933,-0.98978834,-0.98953173,-0.99416933,-0.99556652,-0.99579097,-0.99571697,-0.9975568,-0.99655031,-0.99611776,-0.99611776,-0.99527144,-0.99563374,-0.99781536,-0.99818143,-0.98828445,-0.99319699,-0.99831707,-0.9906675,-0.98847204,-0.99461526,-0.99509504,-0.99637239,-0.99671395,-0.99480169,-0.99552256,-0.99787507
"13",-0.99913488,-0.98468004,-0.99627424,-0.99915165,-0.98730738,-0.99361292,-0.99919161,-0.99013839,-0.99282486,-0.99544544,-0.9971092,-0.99586602,-0.99602372,-0.99888814,-0.99789314,-0.99656707,-0.99656707,-0.9971272,-0.99738797,-0.99915139,-0.99895036,-0.98325916,-0.9960017,-0.99880527,-0.99138489,-0.99132934,-0.99568481,-0.99646211,-0.99589308,-0.99678792,-0.99631669,-0.99725026,-0.99905917
"14",-0.99918834,-0.99052638,-0.99336501,-0.99957758,-0.99425118,-0.99511053,-0.99698535,-0.99236956,-0.9930363,-0.99761834,-0.99760953,-0.99617388,-0.99751236,-0.99826836,-0.99637756,-0.9983924,-0.9983924,-0.99600058,-0.99841465,-0.99915859,-0.99938998,-0.9910295,-0.9941392,-0.9966091,-0.99339182,-0.99152305,-0.99806499,-0.99764892,-0.99660307,-0.99848118,-0.99545097,-0.99842929,-0.99905443
"15",-0.98864079,-0.8166986,-0.90190653,-0.9640453,-0.81461226,-0.86787383,-0.99027112,-0.98429137,-0.99104766,-0.97753165,-0.94186755,-0.91159041,-0.98467008,-0.99282912,-0.98983733,-0.83989567,-0.83989567,-0.98912684,-0.882544,-0.98971134,-0.98817595,-0.79942945,-0.88547351,-0.9925346,-0.98646367,-0.99130793,-0.97906665,-0.93741192,-0.91991214,-0.83625317,-0.98780475,-0.88447314,-0.98927719
"16",-0.99683904,-0.97484812,-0.98338551,-0.99509379,-0.97591253,-0.97119457,-0.99505528,-0.99527456,-0.99513244,-0.98874836,-0.96725751,-0.93401801,-0.99476086,-0.99694746,-0.9966766,-0.98754846,-0.98754846,-0.99754046,-0.92308961,-0.99809793,-0.99746986,-0.97150398,-0.98329938,-0.99584517,-0.99645355,-0.995327,-0.98824485,-0.96247444,-0.93544517,-0.98608288,-0.99757854,-0.91767988,-0.99883527
"17",-0.99694116,-0.98186562,-0.98257653,-0.99928053,-0.99197906,-0.97103653,-0.99481489,-0.99243002,-0.99605297,-0.98911045,-0.98218028,-0.97436137,-0.99563871,-0.99702529,-0.99496175,-0.99093187,-0.99093187,-0.99892631,-0.98189323,-0.99779235,-0.99727628,-0.97932377,-0.97998327,-0.99509342,-0.99309147,-0.99760124,-0.98869915,-0.98002865,-0.97655213,-0.99011174,-0.99774096,-0.9816707,-0.9984604
"18",-0.99769492,-0.98751567,-0.99040744,-0.99863217,-0.99238313,-0.99072749,-0.99497881,-0.99145508,-0.99562514,-0.9891964,-0.9897621,-0.98196822,-0.99646489,-0.99736626,-0.99343448,-0.99268417,-0.99268417,-0.9967385,-0.98867771,-0.99768614,-0.9981406,-0.98689854,-0.99059032,-0.99500032,-0.99218538,-0.99493612,-0.98921392,-0.9887699,-0.98337078,-0.99230619,-0.99609913,-0.98791994,-0.99761851
"19",-0.99749074,-0.99322197,-0.99612795,-0.9987754,-0.99697129,-0.99493392,-0.99576851,-0.99245139,-0.99513475,-0.99128786,-0.99769748,-0.99533142,-0.99617306,-0.99845498,-0.99594305,-0.99741361,-0.99741361,-0.99731242,-0.99388286,-0.99848741,-0.99781366,-0.99394956,-0.99565162,-0.99615735,-0.99303791,-0.9931084,-0.99146979,-0.99749133,-0.99613008,-0.99731449,-0.99704535,-0.99348569,-0.99819704
"20",-0.99781139,-0.9905223,-0.99762104,-0.9987486,-0.99585747,-0.99422799,-0.99667367,-0.99275996,-0.99654064,-0.99590036,-0.99754503,-0.99504298,-0.99662474,-0.99929097,-0.99715752,-0.99879494,-0.99879494,-0.99991721,-0.99528437,-0.99967043,-0.99809595,-0.99012472,-0.9976144,-0.9970498,-0.99288054,-0.99692498,-0.99606208,-0.99703422,-0.99502512,-0.99727464,-0.99958203,-0.99453695,-0.99956029
"21",-0.99790424,-0.99431129,-0.99595166,-0.9990282,-0.99464403,-0.99675098,-0.99611698,-0.99343265,-0.9939722,-0.99747587,-0.99822808,-0.99813809,-0.99721308,-0.99885611,-0.99589195,-0.99798984,-0.99798984,-0.99763356,-0.99900144,-0.9991886,-0.99825827,-0.99458578,-0.99675387,-0.99644693,-0.99369185,-0.99446029,-0.99765151,-0.99799488,-0.9988931,-0.99819256,-0.995093,-0.99922087,-0.99915254
"22",-0.99776322,-0.98995727,-0.99658567,-0.99904052,-0.99499448,-0.99536331,-0.99550617,-0.98680662,-0.99249984,-0.99758401,-0.99864863,-0.99768157,-0.99666843,-0.99847664,-0.99586503,-0.99752775,-0.99752775,-0.99440487,-0.99843242,-0.99867706,-0.99844386,-0.99134414,-0.99683996,-0.99549079,-0.98761657,-0.99236996,-0.99797979,-0.99874253,-0.99850636,-0.99781715,-0.99278698,-0.99850046,-0.99888625
"23",-0.99786211,-0.99009076,-0.99459257,-0.99833263,-0.99198868,-0.99706732,-0.9956916,-0.98292126,-0.99269663,-0.99808137,-0.9975863,-0.99486246,-0.99731648,-0.99855988,-0.99636971,-0.99728461,-0.99728461,-0.99284139,-0.99796907,-0.99891331,-0.99796805,-0.99198378,-0.99452293,-0.99530314,-0.98414932,-0.9915595,-0.99840904,-0.9973201,-0.99529435,-0.998191,-0.99181646,-0.99793024,-0.9985402
"24",-0.99838929,-0.98730784,-0.99083159,-0.99849937,-0.99227999,-0.99292597,-0.99671667,-0.98591724,-0.99281698,-0.99833703,-0.99820829,-0.99598691,-0.99779214,-0.99830456,-0.99575499,-0.99651065,-0.99651065,-0.99435793,-0.9977236,-0.99893826,-0.9989003,-0.98839141,-0.99125809,-0.997259,-0.98621704,-0.99397855,-0.9985502,-0.99830862,-0.99714765,-0.9975563,-0.99276945,-0.9977049,-0.9990231
"25",-0.99853388,-0.98848901,-0.99318367,-0.99749379,-0.99145541,-0.99475932,-0.99683571,-0.98672319,-0.99262375,-0.99624819,-0.99767145,-0.99406934,-0.99692766,-0.99810702,-0.99400441,-0.99494985,-0.99494985,-0.9952337,-0.99735309,-0.99890363,-0.99840255,-0.98914555,-0.9932395,-0.99695721,-0.98905174,-0.99304129,-0.99656089,-0.9976868,-0.99477065,-0.99537148,-0.99520624,-0.99782288,-0.99886745
"26",-0.99805969,-0.98606983,-0.99342424,-0.99796817,-0.98848774,-0.99047056,-0.99605338,-0.98671816,-0.99156012,-0.9935398,-0.99742925,-0.99505457,-0.99574247,-0.99798917,-0.99445348,-0.99441625,-0.99441625,-0.99485866,-0.99616702,-0.99868261,-0.99834409,-0.98628632,-0.9938875,-0.99577968,-0.98715184,-0.99126017,-0.99372716,-0.9974327,-0.99626738,-0.99500518,-0.99426938,-0.99619603,-0.99900752
"27",-0.99925496,-0.99366888,-0.9941888,-0.99900508,-0.99730066,-0.99773765,-0.99656406,-0.98927805,-0.99108795,-0.99433322,-0.99747657,-0.9967981,-0.99543855,-0.99754026,-0.99537407,-0.99776154,-0.99776154,-0.99456104,-0.99579462,-0.9982994,-0.99939524,-0.99547014,-0.99502186,-0.99589031,-0.99028132,-0.99157098,-0.99504265,-0.99752732,-0.99774839,-0.99864097,-0.99555244,-0.99570376,-0.99865929
"28",-0.90429967,-0.18193654,-0.44315051,-0.81418938,-0.25461649,-0.34244329,-0.98122357,-0.96614228,-0.98349118,-0.9733557,-0.97220339,-0.9171989,-0.98520162,-0.98666522,-0.98196657,-0.18717165,-0.18717165,-0.97133698,-0.96976795,-0.9801139,-0.89802907,-0.12526373,-0.40381329,-0.98187701,-0.96489086,-0.98385314,-0.97513158,-0.97447678,-0.93123209,-0.19941645,-0.96429842,-0.97112442,-0.9772135
"29",-0.98291504,-0.89160489,-0.94143811,-0.96038769,-0.89611252,-0.91088155,-0.99243453,-0.98825647,-0.99383772,-0.99422554,-0.97536842,-0.9688802,-0.99703744,-0.99794847,-0.99666202,-0.93195422,-0.93195422,-0.99458511,-0.95274453,-0.99875192,-0.9814758,-0.88046372,-0.9286557,-0.99298662,-0.98798979,-0.99462142,-0.99427314,-0.97297426,-0.96880151,-0.93096339,-0.99278695,-0.95058339,-0.99876688
"30",-0.99281839,-0.94035041,-0.98149266,-0.98263913,-0.94642426,-0.96440037,-0.9946122,-0.99291965,-0.99189025,-0.99564427,-0.97823105,-0.96663998,-0.99807729,-0.99817308,-0.99835245,-0.97105963,-0.97105963,-0.99452938,-0.95416523,-0.9991864,-0.9926239,-0.9352808,-0.98084231,-0.9954535,-0.99285842,-0.99217735,-0.99568476,-0.97548568,-0.96842315,-0.9712139,-0.99407461,-0.95245005,-0.99932551
"31",-0.81470826,-0.749418,-0.57189889,-0.99203824,-0.96233892,-0.96232958,-0.88383041,-0.85460677,-0.91135086,-0.73087388,-0.49964946,-0.56901637,-0.89380459,-0.88147183,-0.85853561,-0.50812531,-0.50812531,-0.81597791,-0.27136454,-0.83220576,-0.81740855,-0.75605135,-0.55205838,-0.8964778,-0.85985543,-0.91690502,-0.73003425,-0.41291791,-0.58390665,-0.53386872,-0.76927158,-0.22046404,-0.80216905
"32",-0.75839283,-0.58653735,-0.43911019,-0.80474333,-0.73280728,-0.84969761,-0.85803037,-0.84002483,-0.8962204,-0.72058157,-0.48896854,-0.50932463,-0.88630796,-0.87419654,-0.84808876,-0.49055481,-0.49055481,-0.83897844,-0.35701417,-0.85172027,-0.73954717,-0.5594663,-0.3690514,-0.86126158,-0.84714569,-0.89848012,-0.71281525,-0.40157813,-0.50884639,-0.4881476,-0.82288377,-0.3117463,-0.83747045
"33",-0.80863778,-0.57274619,-0.62641542,-0.59632839,-0.53455402,-0.64299102,-0.92242832,-0.93646888,-0.95518789,-0.92572959,-0.89701675,-0.72055919,-0.9636738,-0.95824501,-0.9490345,-0.48451097,-0.48451097,-0.91068062,-0.81063604,-0.9471408,-0.79420134,-0.52521634,-0.6046235,-0.93108771,-0.93956888,-0.95970531,-0.93920178,-0.88702317,-0.72890522,-0.47811404,-0.90566871,-0.81369615,-0.94961434
"34",-0.95650333,-0.83867155,-0.94300953,-0.90544971,-0.85046281,-0.91527246,-0.98969999,-0.98115962,-0.99574605,-0.99621609,-0.97820247,-0.97771988,-0.99592893,-0.98907867,-0.99323089,-0.89361999,-0.89361999,-0.98994373,-0.96711724,-0.98932118,-0.95235854,-0.82955267,-0.93038551,-0.99249781,-0.98267927,-0.99473074,-0.99699378,-0.98157382,-0.97832539,-0.90262603,-0.98782658,-0.97115637,-0.98918242
"35",-0.97737449,-0.96384053,-0.96250503,-0.95196097,-0.96299035,-0.94159828,-0.99358012,-0.99102301,-0.9989028,-0.99813599,-0.99054256,-0.97702357,-0.99918853,-0.99412613,-0.99735654,-0.9566084,-0.9566084,-0.99590981,-0.97509882,-0.99571251,-0.974984,-0.96006561,-0.95783963,-0.99392194,-0.99220246,-0.99787899,-0.99808887,-0.99006757,-0.97768507,-0.95600866,-0.99517066,-0.9733614,-0.9954641
"36",-0.99385604,-0.9931787,-0.9934703,-0.98694934,-0.99214128,-0.98848719,-0.99740715,-0.99211449,-0.99739047,-0.99673098,-0.99424221,-0.98667882,-0.99879597,-0.99464491,-0.99681566,-0.99550157,-0.99550157,-0.99785691,-0.98688986,-0.99591487,-0.99282051,-0.99235834,-0.99211813,-0.99773605,-0.99249266,-0.9974402,-0.99658723,-0.99485993,-0.98790654,-0.99428267,-0.99658205,-0.98593044,-0.99554573
"37",-0.99607594,-0.99578152,-0.99822168,-0.99505769,-0.9965211,-0.99381054,-0.99646841,-0.99119252,-0.99673754,-0.99909646,-0.99291725,-0.99092483,-0.99873284,-0.99459335,-0.99532203,-0.99906531,-0.99906531,-0.99756977,-0.9937742,-0.99598442,-0.99594084,-0.99697932,-0.99748962,-0.9964667,-0.99132658,-0.99494922,-0.99920566,-0.9928408,-0.99161487,-0.99914369,-0.99581104,-0.99442573,-0.99580097
"38",-0.99557733,-0.99454385,-0.99454372,-0.99616079,-0.99837049,-0.9954126,-0.99488413,-0.99050354,-0.99724301,-0.99834012,-0.99422482,-0.99602129,-0.99860547,-0.99482467,-0.99451645,-0.9955942,-0.9955942,-0.99763017,-0.99631676,-0.99617057,-0.99560896,-0.99562919,-0.99296166,-0.99514544,-0.99098612,-0.99632589,-0.99842318,-0.99402078,-0.99684885,-0.99473344,-0.99632383,-0.99733499,-0.99636766
"39",-0.97995358,-0.86619341,-0.96829047,-0.93882287,-0.87952195,-0.96472588,-0.98434397,-0.97182661,-0.98618311,-0.95390955,-0.97297342,-0.84095619,-0.99218252,-0.99252142,-0.99244534,-0.94594716,-0.94594716,-0.97954382,-0.83659935,-0.99356814,-0.97845261,-0.85859152,-0.96490936,-0.98664266,-0.97707565,-0.98784088,-0.95333014,-0.96989231,-0.85297934,-0.95362659,-0.97790115,-0.83292149,-0.99346944
"40",-0.99078294,-0.93506515,-0.99072156,-0.97677857,-0.91534904,-0.99164161,-0.99051461,-0.99076345,-0.99205386,-0.94503475,-0.98871206,-0.83657336,-0.99831777,-0.99404793,-0.99635394,-0.94767986,-0.94767986,-0.99272934,-0.82768948,-0.99563264,-0.99110846,-0.92953745,-0.99012132,-0.99105092,-0.99155239,-0.99158121,-0.94678149,-0.98838593,-0.85070435,-0.94488385,-0.99098543,-0.82666953,-0.9955675
"41",-0.99546804,-0.98433022,-0.99099514,-0.99404779,-0.98811386,-0.99610975,-0.99447393,-0.99227559,-0.99127045,-0.96234359,-0.98868112,-0.90097784,-0.99784305,-0.99528855,-0.99621464,-0.99577426,-0.99577426,-0.99521943,-0.8924004,-0.99663743,-0.9959233,-0.98392125,-0.99145955,-0.99492506,-0.99219621,-0.99066655,-0.96305174,-0.98722279,-0.90654805,-0.99538682,-0.994891,-0.88862055,-0.99642101
"42",-0.99439029,-0.98456278,-0.99198578,-0.99725489,-0.98846264,-0.99715923,-0.99264049,-0.99064198,-0.99159452,-0.98300305,-0.99349202,-0.97544897,-0.99708794,-0.99492132,-0.99763961,-0.9938755,-0.9938755,-0.99322502,-0.9765392,-0.99584487,-0.99525185,-0.98377944,-0.99200955,-0.99289097,-0.99061234,-0.99061151,-0.98344879,-0.9934553,-0.97605565,-0.99409828,-0.99338603,-0.97464616,-0.99565892
"43",-0.9955058,-0.98176748,-0.99347363,-0.99760938,-0.98843377,-0.99884243,-0.99387916,-0.9902451,-0.99233342,-0.99429125,-0.99472922,-0.98163073,-0.99756387,-0.99580404,-0.99685086,-0.99281205,-0.99281205,-0.99349987,-0.98621149,-0.9970187,-0.99613117,-0.97902885,-0.9935939,-0.99478159,-0.99034831,-0.99135708,-0.99458049,-0.99460844,-0.98246771,-0.99271444,-0.99215353,-0.98483098,-0.99725922
"44",-0.99501877,-0.97044631,-0.98926612,-0.99668022,-0.98347532,-0.99915781,-0.9952061,-0.99059558,-0.99252449,-0.99892436,-0.99559617,-0.98693836,-0.99927891,-0.99686121,-0.99562988,-0.99324099,-0.99324099,-0.99486123,-0.98928227,-0.99844111,-0.99491636,-0.96643734,-0.98830912,-0.99596362,-0.99105464,-0.99270028,-0.99894645,-0.99558145,-0.98667052,-0.99326591,-0.99534721,-0.9876524,-0.99822553
"45",-0.99474489,-0.97949566,-0.98796152,-0.99514435,-0.98746407,-0.98865462,-0.99358183,-0.99072386,-0.99559271,-0.99735086,-0.99470232,-0.98453755,-0.99828037,-0.99659289,-0.99499468,-0.99402631,-0.99402631,-0.9960982,-0.99026281,-0.99754577,-0.9949904,-0.97685721,-0.98631197,-0.99462966,-0.99260192,-0.99551749,-0.99735949,-0.99445597,-0.98509781,-0.99349154,-0.99565716,-0.9900564,-0.99717794
"46",-0.9958764,-0.9891107,-0.99341322,-0.99582182,-0.99035562,-0.99414395,-0.99237312,-0.99328268,-0.9974808,-0.99853579,-0.99420193,-0.98875701,-0.99738083,-0.99615461,-0.99520402,-0.99767465,-0.99767465,-0.99776271,-0.99467142,-0.9971475,-0.99649281,-0.98868806,-0.99166211,-0.99213366,-0.99366269,-0.99663134,-0.99875773,-0.99446261,-0.98872747,-0.99681386,-0.99647978,-0.99444503,-0.99708205
"47",-0.99664602,-0.98297482,-0.99479797,-0.99771429,-0.98795319,-0.99730555,-0.99277413,-0.99043365,-0.99643207,-0.99878789,-0.99505467,-0.98844605,-0.99777798,-0.99672581,-0.99565428,-0.99825604,-0.99825604,-0.99816169,-0.99446094,-0.99810576,-0.99716899,-0.98105499,-0.99425455,-0.99199723,-0.99210024,-0.99623512,-0.99915562,-0.99509502,-0.9884377,-0.99838757,-0.99754113,-0.99405488,-0.99784862
"48",-0.99642843,-0.98467312,-0.99068266,-0.9984551,-0.9931154,-0.9960581,-0.99276362,-0.989421,-0.99458711,-0.99835296,-0.99491145,-0.99213197,-0.99821854,-0.99701461,-0.99507334,-0.99653821,-0.99653821,-0.99625649,-0.99652094,-0.99822544,-0.99723615,-0.98308846,-0.98965545,-0.99277596,-0.98968161,-0.99539364,-0.9986269,-0.99448807,-0.99280705,-0.9971598,-0.99396034,-0.99654661,-0.99796309
"49",-0.99588454,-0.98801293,-0.98842553,-0.9956679,-0.99051998,-0.99017271,-0.99265114,-0.99365524,-0.99346867,-0.99853287,-0.99573925,-0.98903748,-0.99821407,-0.99703634,-0.99436845,-0.9949077,-0.9949077,-0.99335363,-0.99637214,-0.99793913,-0.99641687,-0.98600014,-0.98662695,-0.99205337,-0.9939103,-0.99245292,-0.99886473,-0.99564221,-0.98974277,-0.99478688,-0.99059234,-0.99679823,-0.99767112
"50",-0.99584854,-0.98070075,-0.99340381,-0.99695551,-0.99150766,-0.99457185,-0.99396693,-0.99196458,-0.99592536,-0.99827112,-0.9950509,-0.98889306,-0.99820447,-0.99623539,-0.99471796,-0.99486796,-0.99486796,-0.9953607,-0.99557457,-0.99769576,-0.9960453,-0.97724297,-0.99189005,-0.99432272,-0.99206457,-0.99596965,-0.99851691,-0.99512495,-0.98931266,-0.99365615,-0.99284617,-0.99605699,-0.99754752
"51",-0.99572983,-0.97896723,-0.99139401,-0.99508616,-0.98598512,-0.99373603,-0.99309444,-0.99078442,-0.99439585,-0.99810121,-0.99314198,-0.98862667,-0.99742615,-0.99591829,-0.99513623,-0.99536861,-0.99536861,-0.99616196,-0.99428791,-0.99682107,-0.99743328,-0.97663042,-0.98873898,-0.99440135,-0.99068737,-0.99364571,-0.99870298,-0.99274758,-0.98893074,-0.99473486,-0.99550624,-0.9950137,-0.99594383
"52",-0.91481115,-0.89523112,-0.89174811,-0.78374234,-0.98892557,-0.89538076,-0.94745338,-0.89722597,-0.97816837,-0.95513929,-0.93360561,-0.81188693,-0.96974195,-0.9531439,-0.97210194,-0.83169609,-0.83169609,-0.90224092,-0.81164844,-0.94034612,-0.91037489,-0.90562736,-0.88104465,-0.95022293,-0.90367544,-0.98246061,-0.95626437,-0.93427842,-0.82168422,-0.83619631,-0.89146988,-0.80624765,-0.93054398
"53",-0.98488259,-0.99111837,-0.98211178,-0.96034279,-0.98897778,-0.96530301,-0.9928808,-0.98943383,-0.99164836,-0.98117184,-0.99271925,-0.8922664,-0.99705918,-0.99724402,-0.99760705,-0.97847045,-0.97847045,-0.99320151,-0.89860396,-0.99865538,-0.98389409,-0.99184611,-0.98179749,-0.99349601,-0.98928622,-0.99091956,-0.98114495,-0.99192883,-0.89997136,-0.97848445,-0.99296117,-0.89574669,-0.99855628
"54",-0.9941946,-0.99637166,-0.99561514,-0.98879281,-0.99756896,-0.99600941,-0.99488847,-0.99140208,-0.99377178,-0.99013041,-0.99615343,-0.94702521,-0.99773859,-0.9981612,-0.99421976,-0.99609738,-0.99609738,-0.9946894,-0.97291051,-0.99842692,-0.99436299,-0.9968263,-0.99536475,-0.99588563,-0.99112114,-0.99397365,-0.99048968,-0.9956296,-0.95058438,-0.99677722,-0.99355488,-0.97054765,-0.99834175
"55",-0.99613535,-0.99581156,-0.99868915,-0.99593411,-0.99846505,-0.99877914,-0.99439037,-0.99317763,-0.99618103,-0.99618046,-0.99507117,-0.98902329,-0.99862786,-0.99843113,-0.99459715,-0.99870535,-0.99870535,-0.99564924,-0.99305154,-0.99869506,-0.99623496,-0.99647204,-0.99902371,-0.99444287,-0.99374614,-0.99663571,-0.99608674,-0.99382148,-0.98946384,-0.99844942,-0.99331487,-0.99206,-0.99869335
